target_group,n_levels,diagonal_rank,best_minus_diagonal_solved_rate
group_000,1242,2,0.008857
group_001,1292,1,0.000000
group_002,137,1,0.000000
group_003,470,3,0.017021
group_004,117,2,0.008547
group_005,36,9,0.027778
group_006,33,1,0.000000
group_007,8,1,0.000000
group_008,489,1,0.000000
group_009,37,2,0.027027
group_010,29,5,0.068966
group_011,16,6,0.062500
group_012,74,1,0.000000
group_013,33,5,0.030303
group_014,115,2,0.008696
