level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/train/085.txt#883,speed,True,17,0.05740785598754883,8,105,105,7,98,84,1,13
sokoban_core/levels/boxoban/medium/train/255.txt#603,speed,True,16,0.0456690788269043,15,117,117,36,81,74,2,5
sokoban_core/levels/boxoban/medium/train/394.txt#205,speed,True,27,0.045838117599487305,21,84,84,15,69,68,1,0
sokoban_core/levels/boxoban/medium/train/059.txt#848,speed,True,23,0.07543706893920898,14,202,202,41,161,155,1,5
sokoban_core/levels/boxoban/medium/train/067.txt#94,speed,True,320,0.18265891075134277,30,717,681,255,426,421,1,4
sokoban_core/levels/boxoban/medium/train/056.txt#49,speed,True,14,0.024029016494750977,11,51,51,10,41,37,1,3
sokoban_core/levels/boxoban/medium/train/393.txt#926,speed,True,20,0.028765201568603516,14,81,81,27,54,50,1,3
sokoban_core/levels/boxoban/medium/train/335.txt#473,speed,True,177,0.16362905502319336,14,528,528,142,386,376,1,9
sokoban_core/levels/boxoban/medium/valid/004.txt#847,speed,True,23,0.05012798309326172,17,134,134,25,109,105,1,3
sokoban_core/levels/boxoban/medium/train/228.txt#951,speed,True,56,0.0861811637878418,14,197,197,12,185,174,1,10
sokoban_core/levels/boxoban/medium/train/235.txt#525,speed,True,278,0.22623062133789062,15,626,626,102,524,497,1,26
sokoban_core/levels/boxoban/medium/train/269.txt#39,speed,True,186,0.18399596214294434,14,611,611,214,397,388,1,8
sokoban_core/levels/boxoban/medium/valid/031.txt#606,speed,True,12,0.0724031925201416,12,109,109,1,108,104,1,3
sokoban_core/levels/boxoban/medium/train/143.txt#79,speed,True,31,0.08004188537597656,17,191,191,51,140,136,1,3
sokoban_core/levels/boxoban/medium/train/343.txt#691,speed,True,169,0.2435898780822754,14,595,589,133,456,450,1,5
sokoban_core/levels/boxoban/medium/train/401.txt#432,speed,True,76,0.17519187927246094,22,364,358,45,313,222,1,90
sokoban_core/levels/boxoban/medium/valid/019.txt#439,speed,True,32,0.07969808578491211,15,197,197,32,165,155,1,9
sokoban_core/levels/boxoban/medium/train/392.txt#435,speed,True,34,0.04838895797729492,16,114,114,25,89,89,0,0
sokoban_core/levels/boxoban/medium/train/340.txt#880,speed,True,1867,1.7319352626800537,17,4510,4250,576,3674,3598,1,75
sokoban_core/levels/boxoban/medium/train/406.txt#900,speed,True,380,0.5406861305236816,26,1332,1332,313,1019,859,1,159
sokoban_core/levels/boxoban/medium/train/191.txt#144,speed,True,15,0.0525209903717041,12,147,147,26,121,112,1,8
sokoban_core/levels/boxoban/medium/train/174.txt#303,speed,True,157,0.16180801391601562,21,366,366,68,298,219,1,78
sokoban_core/levels/boxoban/medium/train/209.txt#231,speed,True,338,0.5054821968078613,15,1171,1166,88,1078,1075,1,2
sokoban_core/levels/boxoban/medium/train/296.txt#564,speed,True,653,0.8270468711853027,20,1951,1925,322,1603,1569,1,33
sokoban_core/levels/boxoban/medium/train/170.txt#442,speed,True,462,0.5791928768157959,14,1622,1419,168,1251,1238,1,12
sokoban_core/levels/boxoban/medium/train/071.txt#751,speed,True,24,0.028378009796142578,21,73,73,19,54,52,1,1
sokoban_core/levels/boxoban/medium/train/100.txt#391,speed,True,459,0.49951696395874023,11,1407,1402,236,1166,1088,1,77
sokoban_core/levels/boxoban/medium/train/234.txt#922,speed,True,39,0.060598134994506836,23,149,149,24,125,122,1,2
sokoban_core/levels/boxoban/medium/train/362.txt#796,speed,True,15,0.03907322883605957,9,103,103,32,71,65,2,4
sokoban_core/levels/boxoban/medium/valid/039.txt#94,speed,True,121,0.21934890747070312,15,569,569,97,472,328,1,143
sokoban_core/levels/boxoban/medium/train/080.txt#891,speed,True,22,0.031453847885131836,12,91,91,31,60,35,1,24
