level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/train/085.txt#883,optimal_mix,True,469,0.49414587020874023,8,1357,1357,230,1127,1093,2,32
sokoban_core/levels/boxoban/medium/train/177.txt#497,optimal_mix,True,722,0.62080979347229,14,1797,1797,414,1383,1305,1,77
sokoban_core/levels/boxoban/medium/valid/031.txt#736,optimal_mix,True,1546,1.0787930488586426,13,2618,2618,390,2228,2220,1,7
sokoban_core/levels/boxoban/medium/train/119.txt#665,optimal_mix,True,1357,0.8588709831237793,14,3006,3006,942,2064,2022,2,40
sokoban_core/levels/boxoban/medium/train/255.txt#603,optimal_mix,True,1080,0.7450323104858398,13,2503,2503,832,1671,1656,3,12
sokoban_core/levels/boxoban/medium/train/043.txt#49,optimal_mix,True,2334,1.9071779251098633,26,5440,5440,1323,4117,4024,3,90
sokoban_core/levels/boxoban/medium/train/393.txt#926,optimal_mix,True,143,0.08655381202697754,14,343,343,132,211,200,2,9
sokoban_core/levels/boxoban/medium/train/067.txt#94,optimal_mix,True,2395,1.1294479370117188,30,3749,3748,1188,2560,2541,2,17
sokoban_core/levels/boxoban/medium/train/056.txt#49,optimal_mix,True,87,0.06053495407104492,11,187,187,41,146,140,2,4
sokoban_core/levels/boxoban/medium/train/059.txt#848,optimal_mix,True,1222,1.256990909576416,14,3354,3354,835,2519,2506,1,12
sokoban_core/levels/boxoban/medium/train/269.txt#39,optimal_mix,True,1492,0.8444199562072754,14,2833,2833,1000,1833,1821,2,10
sokoban_core/levels/boxoban/medium/train/340.txt#880,optimal_mix,True,14814,7.799073934555054,17,22356,22343,4761,17582,17497,2,83
sokoban_core/levels/boxoban/medium/train/235.txt#525,optimal_mix,True,1813,1.1878960132598877,15,3205,3205,399,2806,2772,1,33
sokoban_core/levels/boxoban/medium/train/343.txt#691,optimal_mix,True,1061,0.6402790546417236,14,2027,2027,548,1479,1469,1,9
sokoban_core/levels/boxoban/medium/train/335.txt#473,optimal_mix,True,3745,2.292530059814453,14,7544,7542,1954,5588,5568,2,18
sokoban_core/levels/boxoban/medium/train/394.txt#205,optimal_mix,True,6021,3.6743721961975098,21,9905,9905,2246,7659,7641,3,15
sokoban_core/levels/boxoban/medium/train/228.txt#951,optimal_mix,True,1940,1.899001121520996,14,4591,4591,490,4101,4082,1,18
sokoban_core/levels/boxoban/medium/valid/004.txt#847,optimal_mix,True,5045,2.899294137954712,17,9373,9366,2600,6766,6760,1,5
sokoban_core/levels/boxoban/medium/valid/019.txt#439,optimal_mix,True,1135,1.6373679637908936,15,4525,4525,837,3688,3602,5,81
sokoban_core/levels/boxoban/medium/valid/031.txt#606,optimal_mix,True,2363,3.1676952838897705,12,6849,6849,806,6043,5991,3,49
sokoban_core/levels/boxoban/medium/train/401.txt#432,optimal_mix,True,3948,4.182199001312256,22,10318,10318,2151,8167,7955,1,211
sokoban_core/levels/boxoban/medium/train/296.txt#564,optimal_mix,True,8232,4.348003149032593,20,12753,12753,3122,9631,9573,2,56
sokoban_core/levels/boxoban/medium/train/392.txt#435,optimal_mix,True,1023,0.6100821495056152,16,1788,1788,351,1437,1434,1,2
sokoban_core/levels/boxoban/medium/train/143.txt#79,optimal_mix,True,5001,3.587333917617798,17,9535,9535,2127,7408,7395,2,11
sokoban_core/levels/boxoban/medium/train/174.txt#303,optimal_mix,True,1895,1.0319149494171143,21,2788,2788,456,2332,2193,1,138
sokoban_core/levels/boxoban/medium/train/100.txt#391,optimal_mix,True,1303,1.2799320220947266,11,4151,4149,808,3341,3226,2,113
sokoban_core/levels/boxoban/medium/train/170.txt#442,optimal_mix,True,2831,2.2452869415283203,14,6496,6476,1479,4997,4982,1,14
sokoban_core/levels/boxoban/medium/train/191.txt#144,optimal_mix,True,3444,2.311582088470459,12,7984,7982,1809,6173,6154,1,18
sokoban_core/levels/boxoban/medium/valid/039.txt#94,optimal_mix,True,1267,1.405777931213379,15,3534,3534,706,2828,2607,2,219
sokoban_core/levels/boxoban/medium/train/071.txt#751,optimal_mix,True,244,0.1433391571044922,21,467,467,144,323,319,2,2
sokoban_core/levels/boxoban/medium/train/362.txt#796,optimal_mix,True,245,0.26914095878601074,9,864,864,308,556,550,2,4
sokoban_core/levels/boxoban/medium/train/407.txt#98,optimal_mix,True,4554,2.421891927719116,25,6631,6631,1670,4961,4895,2,64
sokoban_core/levels/boxoban/medium/train/080.txt#891,optimal_mix,True,57,0.057914018630981445,12,181,181,62,119,85,2,32
sokoban_core/levels/boxoban/medium/train/199.txt#730,optimal_mix,True,35,0.06920027732849121,8,184,183,11,172,162,2,8
sokoban_core/levels/boxoban/medium/train/130.txt#522,optimal_mix,True,3057,2.539362907409668,15,5994,5994,1126,4868,4839,1,28
sokoban_core/levels/boxoban/medium/train/176.txt#901,optimal_mix,True,1854,1.1617181301116943,17,3394,3394,656,2738,2683,2,53
sokoban_core/levels/boxoban/medium/train/253.txt#82,optimal_mix,True,29479,22.28503179550171,20,52339,52339,11874,40465,40413,3,49
sokoban_core/levels/boxoban/medium/train/379.txt#357,optimal_mix,True,516,0.6709499359130859,11,1609,1609,183,1426,1406,2,18
sokoban_core/levels/boxoban/medium/train/008.txt#834,optimal_mix,True,1607,0.9264020919799805,17,2621,2621,447,2174,2156,3,15
sokoban_core/levels/boxoban/medium/train/349.txt#453,optimal_mix,True,268,0.2239680290222168,13,638,638,158,480,475,3,2
sokoban_core/levels/boxoban/medium/train/209.txt#231,optimal_mix,True,10279,7.59420108795166,15,18330,18330,2389,15941,15930,2,9
sokoban_core/levels/boxoban/medium/train/004.txt#645,optimal_mix,True,96,0.05426597595214844,16,185,185,66,119,115,1,3
