target_group,model_group,num_levels,success_count,success_rate,avg_runtime_all,avg_nodes_all,avg_runtime_success,avg_nodes_success
group_005,group_010,388,143,0.368557,205.569770,227096.208763,43.780040,78070.475524
group_005,group_011,388,124,0.319588,217.688886,272985.193299,42.433270,86694.330645
group_006,group_000,339,67,0.197640,251.938180,65510.168142,56.780307,17962.194030
group_006,group_001,339,59,0.174041,257.430873,69069.132743,55.350129,23113.542373
group_006,group_002,339,43,0.126844,269.618600,76017.831858,60.426180,15304.093023
group_006,group_003,339,1,0.002950,299.136706,74041.415929,4.556957,6014.000000
group_006,group_004,339,53,0.156342,263.042391,64088.946903,63.567695,16238.452830
group_006,group_005,339,49,0.144543,268.098406,78642.666667,79.253545,26305.183673
group_006,group_006,339,56,0.165192,260.254659,68926.235988,59.364398,16856.517857
group_006,group_007,339,54,0.159292,262.846182,71013.601770,66.708951,20271.944444
group_006,group_008,339,24,0.070796,282.462652,141967.882006,52.174246,28026.916667
group_006,group_009,339,40,0.117994,270.280711,78011.159292,48.079763,12967.375000
group_006,group_010,339,29,0.085546,279.189223,90354.743363,56.654333,20316.379310
group_006,group_011,339,4,0.011799,297.860885,120024.887906,118.168181,170354.500000
group_007,group_000,271,163,0.601476,134.740086,96935.579336,25.240705,27264.294479
group_007,group_001,271,157,0.579336,144.991197,100191.350554,32.434553,38842.694268
group_007,group_002,271,158,0.583026,146.365837,101634.383764,36.483285,40068.822785
group_007,group_003,271,108,0.398524,199.272611,156097.856089,47.238608,68099.898148
group_007,group_004,271,158,0.583026,144.301437,106535.623616,32.945238,34362.006329
group_007,group_005,271,170,0.627306,131.624231,94217.704797,31.587047,31647.188235
group_007,group_006,271,157,0.579336,143.777941,104403.051661,30.340611,30195.796178
group_007,group_007,271,162,0.597786,138.363534,92460.125461,29.599736,30343.148148
group_007,group_008,271,142,0.523985,158.092346,211097.594096,29.172700,54034.725352
group_007,group_009,271,155,0.571956,146.884944,117253.295203,32.293376,38343.587097
group_007,group_010,271,140,0.516605,160.096043,164936.236162,29.179604,43371.714286
group_007,group_011,271,122,0.450185,185.673518,207444.889299,46.041261,98175.860656
group_008,group_000,240,0,0.000000,300.028517,19712.925000,nan,nan
group_008,group_001,240,1,0.004167,298.789603,19795.450000,2.201826,398.000000
group_008,group_002,240,1,0.004167,298.790218,29270.508333,4.493503,299.000000
group_008,group_003,240,0,0.000000,300.025250,33538.666667,nan,nan
group_008,group_004,240,1,0.004167,298.782966,19205.866667,0.982168,75.000000
group_008,group_005,240,0,0.000000,300.021707,24766.262500,nan,nan
group_008,group_006,240,1,0.004167,298.776389,26766.091667,0.943026,43.000000
group_008,group_007,240,0,0.000000,300.023402,27155.187500,nan,nan
group_008,group_008,240,1,0.004167,298.777965,40637.641667,1.884010,101.000000
group_008,group_009,240,0,0.000000,300.020036,28744.262500,nan,nan
group_008,group_010,240,0,0.000000,300.020050,31446.675000,nan,nan
group_008,group_011,240,0,0.000000,300.017926,45426.195833,nan,nan
group_009,group_000,155,22,0.141935,265.088012,75175.090323,53.977791,26721.681818
group_009,group_001,155,18,0.116129,273.667940,75922.483871,73.180710,49873.388889
group_009,group_002,155,20,0.129032,266.088738,97391.529032,37.123717,17554.250000
group_009,group_003,155,13,0.083871,277.912349,113971.167742,36.574765,34166.923077
group_009,group_004,155,19,0.122581,269.398112,83297.941935,50.290078,35143.000000
group_009,group_005,155,22,0.141935,264.029112,84822.167742,46.525321,34938.000000
group_009,group_006,155,24,0.154839,263.307305,94822.238710,62.989954,42251.916667
group_009,group_007,155,22,0.141935,265.648066,82501.167742,57.918587,37484.500000
group_009,group_008,155,21,0.135484,265.429506,145171.490323,44.798127,32363.952381
group_009,group_009,155,16,0.103226,273.075209,91322.277419,39.073617,30441.500000
group_009,group_010,155,20,0.129032,265.899523,106022.025806,35.677504,42457.450000
group_009,group_011,155,15,0.096774,274.910107,145515.774194,40.655923,37395.066667
group_010,group_000,146,2,0.013699,297.302751,11575.417808,99.627239,4203.500000
group_010,group_001,146,1,0.006849,298.128939,12808.383562,21.373258,677.000000
group_010,group_002,146,0,0.000000,300.028889,19370.424658,nan,nan
group_010,group_003,146,0,0.000000,300.036229,20267.876712,nan,nan
group_010,group_004,146,0,0.000000,300.046541,11902.595890,nan,nan
group_010,group_005,146,0,0.000000,300.038298,16775.034247,nan,nan
group_010,group_006,146,4,0.027397,294.280762,16291.226027,90.057144,2056.000000
group_010,group_007,146,0,0.000000,300.042151,17111.924658,nan,nan
group_010,group_008,146,1,0.006849,297.997757,30245.479452,3.512164,69.000000
group_010,group_009,146,2,0.013699,297.523799,18050.116438,116.674592,4112.000000
group_010,group_010,146,0,0.000000,300.031191,21307.869863,nan,nan
group_010,group_011,146,0,0.000000,300.028027,40166.020548,nan,nan
group_011,group_000,31,5,0.161290,253.347330,18306.161290,10.493169,1179.600000
group_011,group_001,31,6,0.193548,249.604335,17165.806452,39.335062,1172.500000
group_011,group_002,31,5,0.161290,253.280422,24662.129032,9.979072,1105.000000
group_011,group_003,31,5,0.161290,253.345088,22057.451613,10.395952,1201.000000
group_011,group_004,31,5,0.161290,253.328999,21090.516129,10.465084,1181.200000
group_011,group_005,31,5,0.161290,253.309032,19274.806452,10.159274,1187.600000
group_011,group_006,31,5,0.161290,253.260419,20181.387097,9.877393,1143.400000
group_011,group_007,31,5,0.161290,253.335313,19592.709677,10.340058,1183.600000
group_011,group_008,31,6,0.193548,243.679170,21342.419355,8.839740,933.666667
group_011,group_009,31,5,0.161290,253.236030,19292.225806,9.711083,1083.000000
group_011,group_010,31,5,0.161290,253.230817,22329.548387,9.709285,1114.000000
group_011,group_011,31,5,0.161290,253.251154,31108.258065,9.960744,1125.800000
